4.930765151977539s 	18506294 photons in 1008640 bins
6.299368858337402s 	18506294 photons in 1008640 bins
         9174210 function calls (9172717 primitive calls) in 11.281 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:45(Error)
        1    0.000    0.000    0.000    0.000 _base.py:49(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:53(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:550(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:57(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:61(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:632(BrokenExecutor)
        1    0.000    0.000    0.000    0.000 _base.py:76(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:98(_FirstCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base_call.py:138(UnaryUnaryCall)
        1    0.000    0.000    0.001    0.001 _base_call.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _base_call.py:152(UnaryStreamCall)
        1    0.000    0.000    0.000    0.000 _base_call.py:179(StreamUnaryCall)
        1    0.000    0.000    0.000    0.000 _base_call.py:208(StreamStreamCall)
        1    0.000    0.000    0.000    0.000 _base_call.py:36(RpcContext)
        1    0.000    0.000    0.000    0.000 _base_call.py:89(Call)
        1    0.000    0.000    0.000    0.000 _base_channel.py:106(StreamUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _base_channel.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _base_channel.py:145(StreamStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _base_channel.py:184(Channel)
        1    0.000    0.000    0.000    0.000 _base_channel.py:28(UnaryUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _base_channel.py:67(UnaryStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _base_server.py:138(ServicerContext)
        1    0.000    0.000    0.000    0.000 _base_server.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _base_server.py:28(Server)
        1    0.000    0.000    0.000    0.000 _call.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _call.py:160(Call)
        1    0.000    0.000    0.000    0.000 _call.py:249(_APIStyle)
        1    0.000    0.000    0.000    0.000 _call.py:255(_UnaryResponseMixin)
        1    0.000    0.000    0.000    0.000 _call.py:296(_StreamResponseMixin)
        1    0.000    0.000    0.000    0.000 _call.py:366(_StreamRequestMixin)
